empresa,dominio,email,ciudad,rubro,hallazgo,estado
Check Contabilidades,checkcontabilidades.cl,contacto@checkcontabilidades.cl,Providencia,Contadores,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Morales Contabilidad,mcontabilidad.cl,julio@mcontabilidad.cl,Santiago Centro,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Contar Me Asesora,contarmeasesora.cl,nicolas@contarmeasesora.cl,Santiago Centro,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
A2R Contadores,a2rcontadores.cl,contacto@a2rcontadores.cl,Santiago Centro,Contadores,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Lofwork,lofwork.cl,contacto@lofwork.cl,Santiago Centro,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Neosit,neosit.cl,patricio.gutierrez@neosit.cl,Santiago Centro,Contadores,Sin datos estructurados; titulo es la sigla,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Asesorias Contables (Acontables),acontables.cl,info@acontables.cl,Vitacura,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
BS Chile Consultores,bschileconsultores.cl,asepulveda@bschileconsultores.cl,Vitacura,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Bustamante y Compania,bustamantecia.cl,contacto@bustamantecia.cl,Vitacura,Contadores,Sin datos estructurados; titulo es solo el dominio,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Benavente & Martinez Advisory,benaventeymartinez.cl,contacto@benaventeymartinez.cl,Vitacura,Contadores,Titulo de portada parte con Inicio,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Adactiva,adactiva.cl,hola@adactiva.cl,Vitacura,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
AYR Contadores Auditores,ayrcontax.cl,contacto@ayrcontax.cl,Maipu,Contadores,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Taxwork Contadores Auditores,taxwork.cl,contacto@taxwork.cl,Maipu,Contadores,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
JAB Consultores,jabconsultores.cl,contacto@jabconsultores.cl,Maipu,Contadores,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
ChileAudita,chileaudita.cl,auditores@chileaudita.cl,La Florida,Contadores,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
RSLA Consultores,rsla.cl,ccanales@rsla.cl,La Florida,Contadores,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
